id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_banjir,satuan,tahun
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3,KEJADIAN,2018
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4,KEJADIAN,2018
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,19,KEJADIAN,2018
167,32,JAWA BARAT,3205,KABUPATEN GARUT,3,KEJADIAN,2018
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5,KEJADIAN,2018
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5,KEJADIAN,2018
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3,KEJADIAN,2018
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,10,KEJADIAN,2018
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5,KEJADIAN,2018
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,5,KEJADIAN,2018
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2,KEJADIAN,2018
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,2,KEJADIAN,2018
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,KEJADIAN,2018
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1,KEJADIAN,2018
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,5,KEJADIAN,2018
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2,KEJADIAN,2018
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3,KEJADIAN,2018
181,32,JAWA BARAT,3271,KOTA BOGOR,12,KEJADIAN,2018
182,32,JAWA BARAT,3272,KOTA SUKABUMI,1,KEJADIAN,2018
183,32,JAWA BARAT,3273,KOTA BANDUNG,13,KEJADIAN,2018
184,32,JAWA BARAT,3274,KOTA CIREBON,2,KEJADIAN,2018
185,32,JAWA BARAT,3275,KOTA BEKASI,6,KEJADIAN,2018
186,32,JAWA BARAT,3276,KOTA DEPOK,0,KEJADIAN,2018
187,32,JAWA BARAT,3277,KOTA CIMAHI,13,KEJADIAN,2018
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,KEJADIAN,2018
