id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_hutan_rakyat,satuan,tahun
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0.0,HEKTAR,2018
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.0,HEKTAR,2018
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0.0,HEKTAR,2018
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0.0,HEKTAR,2018
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.0,HEKTAR,2018
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,0.0,HEKTAR,2018
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0.0,HEKTAR,2018
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.0,HEKTAR,2018
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,6.98,HEKTAR,2018
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5771.0,HEKTAR,2018
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,67973.77,HEKTAR,2018
235,32,JAWA BARAT,3271,KOTA BOGOR,0.0,HEKTAR,2018
236,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,HEKTAR,2018
237,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2018
238,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2018
239,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2018
240,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2018
241,32,JAWA BARAT,3277,KOTA CIMAHI,5.0,HEKTAR,2018
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3083.0,HEKTAR,2018
243,32,JAWA BARAT,3279,KOTA BANJAR,4045.2,HEKTAR,2018
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,84432.88,HEKTAR,2019
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,148841.59,HEKTAR,2019
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,728.24,HEKTAR,2019
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,29963.56,HEKTAR,2019
248,32,JAWA BARAT,3205,KABUPATEN GARUT,96353.55,HEKTAR,2019
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,127148.51,HEKTAR,2019
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,20419.3,HEKTAR,2019
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,31432.09,HEKTAR,2019
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,7950.59,HEKTAR,2019
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,30680.7,HEKTAR,2019
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,55249.32,HEKTAR,2019
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,4195.97,HEKTAR,2019
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,9829.62,HEKTAR,2019
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3019.07,HEKTAR,2019
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,594.75,HEKTAR,2019
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,3762.46,HEKTAR,2019
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,154.9,HEKTAR,2019
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,28736.64,HEKTAR,2019
262,32,JAWA BARAT,3271,KOTA BOGOR,2612.12,HEKTAR,2019
263,32,JAWA BARAT,3272,KOTA SUKABUMI,3258.0,HEKTAR,2019
264,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2019
265,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2019
266,32,JAWA BARAT,3275,KOTA BEKASI,2249.89,HEKTAR,2019
267,32,JAWA BARAT,3276,KOTA DEPOK,2716.89,HEKTAR,2019
268,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,HEKTAR,2019
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5118.45,HEKTAR,2019
270,32,JAWA BARAT,3279,KOTA BANJAR,3246.36,HEKTAR,2019
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,33084.91,HEKTAR,2020
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,53062.92,HEKTAR,2020
273,32,JAWA BARAT,3203,KABUPATEN CIANJUR,82347.11,HEKTAR,2020
274,32,JAWA BARAT,3204,KABUPATEN BANDUNG,29052.84,HEKTAR,2020
275,32,JAWA BARAT,3205,KABUPATEN GARUT,67023.33,HEKTAR,2020
276,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,107742.92,HEKTAR,2020
277,32,JAWA BARAT,3207,KABUPATEN CIAMIS,42419.76,HEKTAR,2020
278,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,20083.35,HEKTAR,2020
279,32,JAWA BARAT,3209,KABUPATEN CIREBON,3675.47,HEKTAR,2020
280,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,18519.99,HEKTAR,2020
281,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,36049.14,HEKTAR,2020
282,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,974.53,HEKTAR,2020
283,32,JAWA BARAT,3213,KABUPATEN SUBANG,20975.37,HEKTAR,2020
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11652.45,HEKTAR,2020
285,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3023.88,HEKTAR,2020
286,32,JAWA BARAT,3216,KABUPATEN BEKASI,914.82,HEKTAR,2020
287,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,13095.14,HEKTAR,2020
288,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,61331.35,HEKTAR,2020
289,32,JAWA BARAT,3271,KOTA BOGOR,213.71,HEKTAR,2020
290,32,JAWA BARAT,3272,KOTA SUKABUMI,252.32,HEKTAR,2020
291,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2020
292,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2020
293,32,JAWA BARAT,3275,KOTA BEKASI,7.87,HEKTAR,2020
294,32,JAWA BARAT,3276,KOTA DEPOK,79.14,HEKTAR,2020
295,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,HEKTAR,2020
296,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4094.68,HEKTAR,2020
297,32,JAWA BARAT,3279,KOTA BANJAR,3150.62,HEKTAR,2020
